lambda,N_star,U_star
0.01,2,-0.0792
0.014924623115577889,2,-0.07880603015075377
0.01984924623115578,2,-0.07841206030150753
0.024773869346733667,2,-0.07801809045226131
0.029698492462311557,2,-0.07762412060301507
0.03462311557788945,2,-0.07723015075376885
0.03954773869346734,2,-0.07683618090452261
0.04447236180904523,2,-0.07644221105527638
0.04939698492462312,2,-0.07604824120603015
0.05432160804020101,2,-0.07565427135678392
0.0592462311557789,2,-0.0752603015075377
0.06417085427135678,2,-0.07486633165829146
0.06909547738693467,2,-0.07447236180904523
0.07402010050251256,2,-0.074078391959799
0.07894472361809045,2,-0.07368442211055276
0.08386934673366835,2,-0.07329045226130654
0.08879396984924623,2,-0.0728964824120603
0.09371859296482411,2,-0.07250251256281408
0.09864321608040201,2,-0.07210854271356784
0.1035678391959799,2,-0.0717145728643216
0.10849246231155779,2,-0.07132060301507538
0.11341708542713567,2,-0.07092663316582914
0.11834170854271357,2,-0.07053266331658292
0.12326633165829146,2,-0.07013869346733669
0.12819095477386935,3,-0.06963592700810228
0.13311557788944725,3,-0.06770112530163189
0.13804020100502515,3,-0.06576632359516149
0.14296482412060302,3,-0.06383152188869112
0.14788944723618092,3,-0.061896720182220706
0.1528140703517588,3,-0.0599619184757503
0.1577386934673367,3,-0.05802711676927992
0.16266331658291458,3,-0.05609231506280953
0.16758793969849248,3,-0.054157513356339136
0.17251256281407037,3,-0.05222271164986873
0.17743718592964824,3,-0.05028790994339836
0.18236180904522614,3,-0.04835310823692795
0.18728643216080404,3,-0.04641830653045755
0.19221105527638194,3,-0.04448350482398715
0.1971356783919598,3,-0.042548703117516774
0.2020603015075377,3,-0.040613901411046364
0.2069849246231156,4,-0.038126192747200235
0.21190954773869347,4,-0.035226548874713146
0.21683417085427137,4,-0.03232690500222603
0.22175879396984927,4,-0.029427261129738896
0.22668341708542716,4,-0.026527617257251807
0.23160804020100503,4,-0.023627973384764717
0.23653266331658293,4,-0.0207283295122776
0.24145728643216083,4,-0.017828685639790495
0.2463819095477387,4,-0.01492904176730342
0.2513065326633166,4,-0.012029397894816302
0.2562311557788945,4,-0.009129754022329184
0.2611557788944724,4,-0.00623011014984208
0.2660804020100503,4,-0.0033304662773549903
0.2710050251256282,4,-0.0004308224048678727
0.275929648241206,4,0.0024688214676192033
0.2808542713567839,4,0.005368465340106307
0.2857788944723618,4,0.00826810921259341
0.2907035175879397,5,0.011741442189312862
0.2956281407035176,5,0.015328419083790401
0.3005527638190955,5,0.018915395978267968
0.3054773869346734,5,0.022502372872745535
0.31040201005025125,5,0.026089349767223047
0.31532663316582915,5,0.029676326661700614
0.32025125628140705,5,0.03326330355617818
0.32517587939698495,5,0.03685028045065575
0.33010050251256284,5,0.040437257345133315
0.33502512562814074,5,0.044024234239610854
0.33994974874371864,5,0.04761121113408842
0.3448743718592965,5,0.05119818802856596
0.3497989949748744,5,0.0547851649230435
0.3547236180904523,6,0.05867015039594825
0.3596482412060302,6,0.06281658398977216
0.36457286432160807,6,0.06696301758359607
0.36949748743718597,6,0.07110945117741996
0.37442211055276386,6,0.0752558847712439
0.3793467336683417,6,0.07940231836506775
