bootstrap,N,C
7,18,0.9908
7,19,0.9909
7,20,0.9913
7,21,0.9918
7,22,0.9926
7,23,0.9924
7,24,0.9925
7,25,0.9926
7,26,0.9926
7,27,0.9925
7,28,0.9929
7,29,0.9928
7,30,0.9927
7,31,0.993
7,32,0.9926
7,33,0.9927
7,34,0.9929
7,35,0.993
7,36,0.9924
7,37,0.9928
7,38,0.9929
7,39,0.9931
7,40,0.9927
7,41,0.9928
7,42,0.9928
7,43,0.9931
7,44,0.993
7,45,0.9924
7,46,0.9928
7,47,0.993
7,48,0.9933
7,49,0.9931
7,50,0.993
8,2,0.9524
8,3,0.9783
8,4,0.9832
8,5,0.9836
8,6,0.9839
8,7,0.9863
8,8,0.9872
8,9,0.9889
8,10,0.9901
8,11,0.9903
8,12,0.9895
8,13,0.9907
8,14,0.9916
8,15,0.9905
8,16,0.9901
8,17,0.9899
8,18,0.9903
8,19,0.991
8,20,0.9914
8,21,0.9912
8,22,0.9916
8,23,0.9912
8,24,0.9913
8,25,0.9918
8,26,0.9921
8,27,0.9923
8,28,0.9925
8,29,0.9922
8,30,0.9924
8,31,0.9923
8,32,0.9927
8,33,0.9924
8,34,0.9928
8,35,0.9927
8,36,0.9928
8,37,0.9925
8,38,0.9927
8,39,0.9924
8,40,0.9932
8,41,0.9925
8,42,0.9933
8,43,0.9935
8,44,0.9931
8,45,0.9934
8,46,0.9931
8,47,0.9933
8,48,0.9928
8,49,0.993
8,50,0.9926
9,2,0.9469
9,3,0.9776
9,4,0.9812
9,5,0.9839
9,6,0.9849
9,7,0.9861
9,8,0.9871
9,9,0.9885
9,10,0.989
9,11,0.9906
9,12,0.9902
9,13,0.9911
9,14,0.9911
9,15,0.9911
9,16,0.9913
9,17,0.9916
9,18,0.9914
9,19,0.9911
9,20,0.9912
9,21,0.9909
9,22,0.9917
9,23,0.9911
9,24,0.9916
9,25,0.9923
9,26,0.9918
9,27,0.9915
9,28,0.992
9,29,0.9921
9,30,0.9922
9,31,0.992
9,32,0.9928
9,33,0.993
9,34,0.9927
9,35,0.9929
9,36,0.9928
9,37,0.9928
9,38,0.9925
9,39,0.9924
9,40,0.9927
9,41,0.9929
9,42,0.9929
9,43,0.9927
9,44,0.9929
9,45,0.9927
9,46,0.9929
9,47,0.993
9,48,0.9928
9,49,0.9928
9,50,0.9929
10,2,0.9559
10,3,0.9768
10,4,0.9815
10,5,0.9841
10,6,0.9864
10,7,0.9869
10,8,0.9872
10,9,0.989
10,10,0.9899
10,11,0.9894
10,12,0.9904
10,13,0.9907
10,14,0.9905
10,15,0.9908
10,16,0.9902
10,17,0.9911
10,18,0.9907
10,19,0.9906
10,20,0.9907
10,21,0.9905
10,22,0.9909
10,23,0.9909
10,24,0.9911
10,25,0.9909
10,26,0.9911
10,27,0.9914
10,28,0.9912
10,29,0.9913
10,30,0.9915
10,31,0.9916
10,32,0.9914
10,33,0.9917
10,34,0.9914
10,35,0.9916
10,36,0.9919
10,37,0.9917
10,38,0.9917
10,39,0.992
10,40,0.992
10,41,0.9919
10,42,0.9922
10,43,0.9923
10,44,0.9921
10,45,0.9921
10,46,0.9921
10,47,0.992
10,48,0.9921
10,49,0.9921
10,50,0.9921
11,2,0.9531
11,3,0.9803
11,4,0.982
11,5,0.984
11,6,0.9876
11,7,0.9884
11,8,0.9878
11,9,0.9896
11,10,0.9904
11,11,0.9896
11,12,0.9905
11,13,0.9907
11,14,0.9912
11,15,0.9906
11,16,0.9917
11,17,0.9917
11,18,0.9915
11,19,0.991
11,20,0.9916
11,21,0.9918
11,22,0.9921
11,23,0.9917
11,24,0.992
11,25,0.9917
11,26,0.9916
11,27,0.9917
11,28,0.9921
11,29,0.9915
11,30,0.9919
11,31,0.9919
11,32,0.9924
11,33,0.9925
11,34,0.9928
11,35,0.9926
11,36,0.9929
11,37,0.9923
11,38,0.9928
11,39,0.9924
11,40,0.9933
11,41,0.9926
11,42,0.9927
11,43,0.9926
11,44,0.9923
11,45,0.9926
11,46,0.9927
11,47,0.9929
11,48,0.9924
11,49,0.9926
11,50,0.9929
12,2,0.9562
12,3,0.9796
12,4,0.9833
12,5,0.987
12,6,0.9883
12,7,0.9871
12,8,0.9887
12,9,0.9882
12,10,0.9885
12,11,0.9889
12,12,0.9886
12,13,0.989
12,14,0.9889
12,15,0.9887
12,16,0.9905
12,17,0.99
12,18,0.9902
12,19,0.9901
12,20,0.99
12,21,0.991
12,22,0.9914
12,23,0.9917
12,24,0.9911
12,25,0.9912
12,26,0.9909
12,27,0.9907
12,28,0.9911
12,29,0.9913
12,30,0.9914
12,31,0.9912
12,32,0.9914
12,33,0.9913
12,34,0.9915
12,35,0.9917
12,36,0.9919
12,37,0.9921
12,38,0.9924
12,39,0.9924
12,40,0.9927
12,41,0.9926
12,42,0.9926
12,43,0.9926
12,44,0.9923
12,45,0.9926
12,46,0.9923
12,47,0.9923
12,48,0.9922
12,49,0.9923
12,50,0.9925
13,2,0.9528
13,3,0.9798
13,4,0.9836
13,5,0.986
13,6,0.989
13,7,0.9904
13,8,0.9906
13,9,0.9923
13,10,0.9917
13,11,0.9914
13,12,0.9909
13,13,0.9917
13,14,0.9918
13,15,0.9919
13,16,0.9926
13,17,0.9924
13,18,0.9924
13,19,0.9926
13,20,0.9922
13,21,0.9913
13,22,0.9916
13,23,0.9907
13,24,0.9916
13,25,0.9914
13,26,0.9923
13,27,0.9917
13,28,0.9919
13,29,0.992
13,30,0.9922
13,31,0.9922
13,32,0.9927
13,33,0.993
13,34,0.9926
13,35,0.9932
13,36,0.9928
13,37,0.9931
13,38,0.9929
13,39,0.993
13,40,0.9929
13,41,0.9929
13,42,0.9925
13,43,0.993
13,44,0.9928
13,45,0.9926
13,46,0.993
13,47,0.9926
13,48,0.9931
13,49,0.9927
13,50,0.9931
14,2,0.9532
14,3,0.977
14,4,0.9816
14,5,0.9876
14,6,0.9885
14,7,0.9894
14,8,0.9892
14,9,0.9878
14,10,0.9903
14,11,0.9899
14,12,0.9905
14,13,0.9901
14,14,0.9901
14,15,0.9902
14,16,0.9911
14,17,0.9914
14,18,0.9916
14,19,0.9912
14,20,0.9915
14,21,0.9915
14,22,0.9913
14,23,0.9908
14,24,0.9917
14,25,0.9912
14,26,0.9915
14,27,0.9908
14,28,0.9913
14,29,0.9906
14,30,0.9909
14,31,0.9908
14,32,0.9917
14,33,0.9915
14,34,0.9908
14,35,0.9911
14,36,0.9918
14,37,0.9918
14,38,0.9919
