lambda,N_star,U_star
0.01,2,-0.0396
0.014924623115577889,2,-0.039403015075376885
0.01984924623115578,2,-0.039206030150753766
0.024773869346733667,2,-0.039009045226130655
0.029698492462311557,2,-0.03881206030150754
0.03462311557788945,3,-0.03559496156955865
0.03954773869346734,3,-0.0321237079176236
0.04447236180904523,3,-0.02865245426568854
0.04939698492462312,3,-0.025181200613753493
0.05432160804020101,3,-0.02170994696181843
0.0592462311557789,3,-0.018238693309883383
0.06417085427135678,3,-0.014767439657948328
0.06909547738693467,3,-0.01129618600601328
0.07402010050251256,3,-0.007824932354078225
0.07894472361809045,3,-0.00435367870214317
0.08386934673366835,3,-0.0008824250502081146
0.08879396984924623,3,0.0025888286017269405
0.09371859296482411,3,0.006060082253661982
0.09864321608040201,3,0.009531335905597044
0.1035678391959799,3,0.013002589557532099
0.10849246231155779,3,0.016473843209467147
0.11341708542713567,3,0.01994509686140221
0.11834170854271357,3,0.023416350513337257
0.12326633165829146,3,0.02688760416527232
0.12819095477386935,3,0.030358857817207367
0.13311557788944725,3,0.03383011146914243
0.13804020100502515,3,0.03730136512107749
0.14296482412060302,3,0.04077261877301253
0.14788944723618092,3,0.04424387242494759
0.1528140703517588,3,0.04771512607688265
0.1577386934673367,3,0.051186379728817705
0.16266331658291458,3,0.05465763338075275
0.16758793969849248,3,0.0581288870326878
0.17251256281407037,4,0.06209083857325183
0.17743718592964824,4,0.06614702912966856
0.18236180904522614,4,0.07020321968608531
0.18728643216080404,4,0.07425941024250206
0.19221105527638194,4,0.0783156007989188
0.1971356783919598,4,0.08237179135533554
0.2020603015075377,4,0.08642798191175229
0.2069849246231156,4,0.09048417246816902
0.21190954773869347,4,0.09454036302458575
0.21683417085427137,4,0.0985965535810025
0.22175879396984927,5,0.10305191278340664
0.22668341708542716,5,0.10756111003080611
0.23160804020100503,5,0.11207030727820554
0.23653266331658293,5,0.11657950452560503
0.24145728643216083,5,0.1210887017730045
0.2463819095477387,5,0.12559789902040397
0.2513065326633166,5,0.13010709626780342
0.2562311557788945,5,0.1346162935152029
0.2611557788944724,5,0.13912549076260236
