lambda,N_star,U_star
0.01,2,-0.0396
0.014924623115577889,2,-0.039403015075376885
0.01984924623115578,2,-0.039206030150753766
0.024773869346733667,2,-0.039009045226130655
0.029698492462311557,2,-0.03881206030150754
0.03462311557788945,2,-0.038615075376884425
0.03954773869346734,2,-0.03841809045226131
0.04447236180904523,2,-0.03822110552763819
0.04939698492462312,2,-0.03802412060301508
0.05432160804020101,2,-0.03782713567839196
0.0592462311557789,2,-0.03763015075376885
0.06417085427135678,3,-0.03607538148738383
0.06909547738693467,3,-0.03423934968297007
0.07402010050251256,3,-0.0324033178785563
0.07894472361809045,3,-0.030567286074142528
0.08386934673366835,3,-0.028731254269728754
0.08879396984924623,3,-0.026895222465314984
0.09371859296482411,3,-0.025059190660901225
0.09864321608040201,3,-0.023223158856487444
0.1035678391959799,3,-0.021387127052073684
0.10849246231155779,4,-0.018978999024552065
0.11341708542713567,4,-0.016209171282266788
0.11834170854271357,4,-0.013439343539981524
0.12326633165829146,4,-0.010669515797696254
0.12819095477386935,4,-0.007899688055410983
0.13311557788944725,4,-0.005129860313125706
0.13804020100502515,4,-0.0023600325708404285
0.14296482412060302,4,0.00040979517144482114
0.14788944723618092,4,0.0031796229137301124
0.1528140703517588,4,0.00594945065601539
0.1577386934673367,4,0.008719278398300653
0.16266331658291458,5,0.011963499803233274
0.16758793969849248,5,0.015353188706760265
0.17251256281407037,5,0.018742877610287242
0.17743718592964824,5,0.022132566513814234
0.18236180904522614,5,0.025522255417341225
0.18728643216080404,5,0.028911944320868216
0.19221105527638194,5,0.03230163322439522
0.1971356783919598,5,0.035691322127922184
0.2020603015075377,5,0.039081011031449175
0.2069849246231156,5,0.04247069993497618
0.21190954773869347,5,0.045860388838503144
0.21683417085427137,6,0.04933789061518608
0.22175879396984927,6,0.053183803310502015
0.22668341708542716,6,0.05702971600581795
0.23160804020100503,6,0.060875628701133846
0.23653266331658293,6,0.0647215413964498
0.24145728643216083,6,0.06856745409176572
0.2463819095477387,6,0.07241336678708163
0.2513065326633166,6,0.07625927948239757
0.2562311557788945,6,0.08010519217771352
0.2611557788944724,6,0.08395110487302944
