dataset,mode,role,lambda,n_budget_type,n_budget,eta,n_max,n_star,n_star_unconstrained,capacity_binds,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.17743718592964824,observed_max,50.0,0.09271594449164543,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.18236180904522614,observed_max,50.0,0.08967208597409755,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.18728643216080404,observed_max,50.0,0.08678830158304265,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.19221105527638194,observed_max,50.0,0.08405228758169933,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.1971356783919598,observed_max,50.0,0.08145296966607188,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2020603015075377,observed_max,50.0,0.07898035314598358,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.2069849246231156,observed_max,50.0,0.07662539451323136,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.21190954773869347,observed_max,50.0,0.07437989091771402,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.21683417085427137,observed_max,50.0,0.07223638470451911,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.22175879396984927,observed_max,50.0,0.07018808067074551,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.22668341708542716,observed_max,50.0,0.06822877410773663,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.23160804020100503,observed_max,50.0,0.06635278802343242,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.23653266331658293,observed_max,50.0,0.06455491820692584,50,4,4,False,,,N95,29.0,0.13793103448275862,,,True,False,False
