bootstrap,N,C
9,9,0.9400831499144044
9,10,0.9383712399119589
9,11,0.9437515284910736
9,12,0.942458374142997
9,13,0.9465030674846626
9,14,0.9522631709126886
9,15,0.950950950950951
9,16,0.9505606523955148
9,17,0.9546756967960406
9,18,0.949671772428884
9,19,0.9520923520923521
9,20,0.9515391648887535
9,21,0.9520746220649726
10,2,0.7422352653460503
10,3,0.8730741012472487
10,4,0.8909268769870384
10,5,0.9075568598679383
10,6,0.9210075813157251
10,7,0.9303008070432869
10,8,0.9290780141843972
10,9,0.9373930056248472
10,10,0.934213744191734
10,11,0.9435069699192957
10,12,0.9427032321253673
10,13,0.9432850478762583
10,14,0.9487369985141159
10,15,0.9493734335839599
10,16,0.9483953786906291
10,17,0.9473268369765604
10,18,0.9467179346333425
10,19,0.9404416037187682
10,20,0.9448317672021824
10,21,0.9449423815620999
11,2,0.7483492296404989
11,3,0.8681829298116899
11,4,0.8857911469797016
11,5,0.9068231841526045
11,6,0.9134262655906089
11,7,0.9278552213255075
11,8,0.9371484470530692
11,9,0.9395940327708486
11,10,0.9388603570555148
11,11,0.9408168256297383
11,12,0.9429620563035496
11,13,0.9446902654867256
11,14,0.9467953476862163
11,15,0.9469469469469469
11,16,0.9449846468781986
11,17,0.943301687763713
11,18,0.9455689277899344
11,19,0.9460854602810439
11,20,0.9425045153521975
11,21,0.9435099968264044
12,2,0.74345805820494
12,3,0.8681829298116899
12,4,0.8904377598434825
12,5,0.9139153827341648
12,6,0.9219858156028369
12,7,0.9278552213255075
12,8,0.9347028613352898
12,9,0.9388603570555148
12,10,0.9439960870628515
12,11,0.9442133594323464
12,12,0.9450845795538122
12,13,0.9483648881239243
12,14,0.9503598907917598
12,15,0.9486601552717255
12,16,0.9489350782653323
12,17,0.9495776135163675
12,18,0.9478332873309412
12,19,0.9453170447934846
12,20,0.9464615384615385
12,21,0.9462086843810759
13,2,0.7539740767913915
13,3,0.8760088041085841
13,4,0.8860357055514796
13,5,0.9144044998777208
13,6,0.917094644167278
13,7,0.9249205184641721
13,8,0.9273661041819515
13,9,0.9327463927610663
13,10,0.9351919784788457
13,11,0.9383561643835616
13,12,0.9480773940729855
13,13,0.9459459459459459
13,14,0.9482120838471023
13,15,0.9468562874251497
13,16,0.9504849412965799
13,17,0.9485834207764953
13,18,0.9424499862976158
13,19,0.9427911008379081
13,20,0.9406934306569343
13,21,0.9457714654615881
14,2,0.7468818782098312
14,3,0.8711176326730252
14,4,0.8823673269748105
14,5,0.9068231841526045
14,6,0.9078014184397163
14,7,0.9236977256052825
14,8,0.9210075813157251
14,9,0.9361702127659575
14,10,0.9347028613352898
14,11,0.9386157984837369
14,12,0.9409458466062239
14,13,0.9441024378231962
14,14,0.9440298507462687
14,15,0.943267776096823
14,16,0.9437017994858612
14,17,0.9421705835753895
14,18,0.9427240339819128
14,19,0.9407535231521427
14,20,0.9390169902912622
14,21,0.9371391917896087
15,2,0.7344093910491563
15,3,0.8684274883834678
15,4,0.8808999755441428
15,5,0.9139153827341648
15,6,0.9148936170212766
15,7,0.925409635607728
15,8,0.9268769870383957
15,9,0.9307899241868427
15,10,0.9359256541941795
15,11,0.9364147713377354
15,12,0.9412772204551015
15,13,0.9436136307918608
15,14,0.9450061652281134
15,15,0.9469357249626308
15,16,0.9446287318193417
15,17,0.9469796887364811
15,18,0.9481765834932822
15,19,0.9448614318706697
15,20,0.9462659380692168
15,21,0.954718176060798
16,2,0.7500611396429445
16,3,0.8791880655416973
16,4,0.8909268769870384
16,5,0.9136708241623869
16,6,0.9210075813157251
16,7,0.9288334556126192
16,8,0.934213744191734
16,9,0.9386157984837369
16,10,0.9425287356321839
16,11,0.9459393346379648
16,12,0.9455882352941176
16,13,0.9491400491400491
16,14,0.9488257107540173
16,15,0.9466966966966966
16,16,0.947166921898928
16,17,0.9452449567723343
16,18,0.948016415868673
16,19,0.945664739884393
16,20,0.9440195778525543
16,21,0.9439739413680782
17,2,0.7556859867938371
17,3,0.8711176326730252
17,4,0.880166299828809
17,5,0.9070677427243825
17,6,0.9148936170212766
17,7,0.9276106627537295
17,8,0.9315235999021766
17,9,0.9430178527757398
17,10,0.9403277084861824
17,11,0.9471494984095914
17,12,0.9453565302621907
17,13,0.9511536573392243
17,14,0.9514490958632648
17,15,0.9521902377972465
17,16,0.9513568868407578
17,17,0.9507765201368781
17,18,0.9472672342762977
17,19,0.9468668784291077
17,20,0.9445121951219512
17,21,0.9446222791293214
18,2,0.743702616776718
18,3,0.8745414526779164
18,4,0.8877476155539251
18,5,0.909024211298606
18,6,0.9068231841526045
18,7,0.9224749327463928
18,8,0.9273661041819515
18,9,0.9315235999021766
18,10,0.933969185619956
18,11,0.9410613842015163
18,12,0.9444580376804502
18,13,0.9487368162864852
18,14,0.9492825333993072
18,15,0.948051948051948
18,16,0.9490575649516046
18,17,0.9473959696414551
18,18,0.9478968792401629
18,19,0.9465346534653465
18,20,0.943649373881932
18,21,0.9444270015698587
19,2,0.7432134996331622
19,3,0.8762533626803619
19,4,0.8845683541208119
19,5,0.9073123012961605
19,6,0.9148936170212766
19,7,0.9219858156028369
19,8,0.9229640498899486
19,9,0.9266324284666178
19,10,0.9332355099046221
19,11,0.9378517249816491
19,12,0.9385556915544676
19,13,0.94009329732384
19,14,0.9402429952888669
19,15,0.9441662493740611
19,16,0.9450154162384378
19,17,0.939794032215474
19,18,0.9424342105263158
19,19,0.9425519630484989
19,20,0.9465741020223363
19,21,0.9455302787568087
20,2,0.7407679139153828
20,3,0.8647591098067987
20,4,0.8755196869650281
20,5,0.9014428955734899
20,6,0.909268769870384
20,7,0.9232086084617266
20,8,0.9280997798972854
20,9,0.9364147713377354
20,10,0.9386157984837369
20,11,0.9395940327708486
20,12,0.941766576951309
20,13,0.9418262150220913
20,14,0.9427019017041245
20,15,0.9440279860069966
20,16,0.9390212656930567
20,17,0.9400630914826499
20,18,0.9400656814449918
20,19,0.9403458213256484
20,20,0.9395604395604396
20,21,0.9384515711046323
21,2,0.7510393739300563
21,3,0.8698948398141355
21,4,0.8789435069699193
21,5,0.9033993641477134
21,6,0.9104915627292737
21,7,0.9261433113230618
21,8,0.9271215456101737
21,9,0.9295671313279531
21,10,0.9285888970408412
21,11,0.9395644727183753
21,12,0.9429760156632403
21,13,0.9440628066732091
21,14,0.9455714992577932
21,15,0.9461152882205514
21,16,0.9426670079344766
21,17,0.945324881141046
21,18,0.9426297007960472
21,19,0.9386697379786928
21,20,0.9404474002418379
21,21,0.9402843601895735
22,2,0.7451699682073857
22,3,0.8713621912448031
22,4,0.8872584984103693
22,5,0.9075568598679383
22,6,0.9180728784543898
22,7,0.9278552213255075
22,8,0.9329909513328443
22,9,0.9403277084861824
22,10,0.9391049156272927
22,11,0.9464285714285714
22,12,0.9441450269475747
22,13,0.9459990181639666
22,14,0.9458590852904821
22,15,0.9509632224168126
22,16,0.9532567049808429
22,17,0.9539025667888947
22,18,0.9495934959349593
22,19,0.9505996573386636
22,20,0.9490754774173992
22,21,0.9507880347378578
23,2,0.7419907067742725
23,3,0.8650036683785767
23,4,0.8740523355343605
23,5,0.9011983370017119
23,6,0.9075568598679383
23,7,0.9129371484470531
23,8,0.9158718513083883
23,9,0.9202739056003912
23,10,0.9271215456101737
23,11,0.9314900905309518
23,12,0.9351443954968184
23,13,0.9376381045912104
23,14,0.9374381800197824
23,15,0.939704778583938
23,16,0.9376907426246185
23,17,0.9375163398692811
23,18,0.9338932538607424
23,19,0.9354107648725213
23,20,0.9361069836552749
23,21,0.93625
24,2,0.752017608217168
24,3,0.8769870383956958
24,4,0.8911714355588163
24,5,0.9134262655906089
24,6,0.9180728784543898
24,7,0.9251650770359501
24,8,0.9351919784788457
24,9,0.9405722670579604
24,10,0.9398385913426266
24,11,0.9469307899241869
24,12,0.9471494984095914
24,13,0.9485041687101521
24,14,0.9503703703703704
24,15,0.9501495513459621
24,16,0.9511823035850496
24,17,0.9498687664041995
24,18,0.9501369863013699
24,19,0.9494511842865395
24,20,0.9486009732360098
24,21,0.946284979092956
25,2,0.7417461482024945
25,3,0.8694057226705796
25,4,0.8872584984103693
25,5,0.9075568598679383
25,6,0.9102470041574957
25,7,0.9244314013206163
25,8,0.9268769870383957
25,9,0.9315235999021766
25,10,0.9351919784788457
25,11,0.9344422700587084
25,12,0.9370869033047735
25,13,0.9432850478762583
25,14,0.9424122590212556
25,15,0.943419740777667
25,16,0.9445997458703939
25,17,0.9453409682457053
25,18,0.9462978030919447
25,19,0.9440319817247287
25,20,0.9411941194119412
25,21,0.939047619047619
26,2,0.756175103937393
26,3,0.8745414526779164
26,4,0.8850574712643678
26,5,0.9185619955979457
26,6,0.908779652726828
26,7,0.9251650770359501
26,8,0.9300562484715089
26,9,0.9347028613352898
26,10,0.9398385913426266
26,11,0.9439823874755382
26,12,0.9456681350954479
26,13,0.9489695780176644
26,14,0.9501982160555005
26,15,0.9557057057057057
26,16,0.9557251908396946
26,17,0.9569527785024785
26,18,0.958673191952148
26,19,0.9585477415666095
26,20,0.9577464788732394
26,21,0.9565217391304348
27,2,0.7358767424798239
27,3,0.8657373440939105
27,4,0.8875030569821473
27,5,0.9119589141599413
27,6,0.9141599413059428
27,7,0.9234531670335046
27,8,0.9241868427488383
27,9,0.9325018341892883
27,10,0.9317681584739546
27,11,0.942039618488628
27,12,0.9429201371876531
27,13,0.9450171821305842
27,14,0.9432606541129831
27,15,0.9488849912302681
27,16,0.9434106551108845
27,17,0.9477278697136853
27,18,0.9457385585091806
27,19,0.946078431372549
27,20,0.9453768690875801
27,21,0.944015444015444
28,2,0.7503056982147224
28,3,0.8794326241134752
28,4,0.879921741257031
28,5,0.9129371484470531
28,6,0.9144044998777208
28,7,0.9266324284666178
28,8,0.9290780141843972
28,9,0.9364147713377354
28,10,0.9369038884812912
28,11,0.9420254403131115
28,12,0.9402985074626866
28,13,0.9464899361806578
28,14,0.9467953476862163
28,15,0.9479218828242364
28,16,0.9468302658486708
28,17,0.9492772667542707
28,18,0.9454495614035088
28,19,0.9476710753306498
28,20,0.9434190620272315
28,21,0.9447300771208226
29,2,0.7481046710687209
29,3,0.8706285155294693
29,4,0.8772315969674737
29,5,0.9024211298606016
29,6,0.9124480313034972
29,7,0.9246759598923943
29,8,0.9312790413303986
29,9,0.934213744191734
29,10,0.9410613842015163
29,11,0.940787863958894
29,12,0.9454233969652471
29,13,0.9449631449631449
29,14,0.9464152815678492
29,15,0.9491991991991992
29,16,0.9493994377715308
29,17,0.9552278114300764
29,18,0.9499861840287372
29,19,0.9511059371362048
29,20,0.94688363524716
29,21,0.9469941822882999
30,2,0.7595989239422842
30,3,0.8703839569576913
30,4,0.8901932012717045
30,5,0.9100024455857177
30,6,0.9139153827341648
30,7,0.9251650770359501
30,8,0.929811689899731
30,9,0.9366593299095133
30,10,0.9415505013450721
30,11,0.9457079970652972
30,12,0.9451786588350465
30,13,0.9472780774889652
30,14,0.948019801980198
30,15,0.9465133716570857
30,16,0.949616368286445
30,17,0.9485429246521396
30,18,0.9477571115973742
30,19,0.9453551912568307
30,20,0.9446283478784231
30,21,0.9465648854961832
31,2,0.7380777696258254
31,3,0.8730741012472487
31,4,0.8823673269748105
31,5,0.9097578870139399
31,6,0.9131817070188311
31,7,0.9251650770359501
31,8,0.9273661041819515
31,9,0.9349474199070678
31,10,0.9393494741990707
31,11,0.938570729319628
31,12,0.9444036247856968
31,13,0.9454813359528488
31,14,0.9462605250123823
31,15,0.9464062108690208
31,16,0.9482714468629961
31,17,0.945995785036881
31,18,0.948101611581535
31,19,0.9490555237550086
31,20,0.9490503466988243
31,21,0.9513755598208573
32,2,0.7481046710687209
32,3,0.8703839569576913
32,4,0.8865248226950354
32,5,0.9080459770114943
32,6,0.9117143555881634
32,7,0.917094644167278
32,8,0.925898752751284
32,9,0.9315235999021766
32,10,0.9364147713377354
32,11,0.9383712399119589
32,12,0.9395348837209302
32,13,0.9467745891586952
32,14,0.9421793921423276
32,15,0.9437781109445277
32,16,0.9433673469387756
32,17,0.9456264775413712
32,18,0.9444292362441828
32,19,0.9427249059878507
32,20,0.941194393662401
32,21,0.9431416639897205
33,2,0.7317192467595989
33,3,0.872095866960137
33,4,0.8921496698459281
33,5,0.9131817070188311
33,6,0.9249205184641721
33,7,0.9359256541941795
33,8,0.9329909513328443
33,9,0.9376375641966251
33,10,0.9371484470530692
33,11,0.9442406456346295
33,12,0.9434793246880352
33,13,0.9465161923454367
33,14,0.9475636903289636
33,15,0.9446107784431138
33,16,0.9481083844580777
33,17,0.9470634711614433
33,18,0.9443835616438356
33,19,0.9415509259259259
33,20,0.9400121802679658
33,21,0.9383074935400517
34,2,0.7427243824896063
34,3,0.8601124969430178
34,4,0.8808999755441428
34,5,0.8999755441428222
34,6,0.9016874541452677
34,7,0.9163609684519443
34,8,0.9168500855955001
34,9,0.925654194179506
34,10,0.9263878698948398
34,11,0.9314229733039432
34,12,0.9335947071796128
34,13,0.9368550368550369
34,14,0.9383358098068351
34,15,0.9408965689957426
34,16,0.9396419437340153
34,17,0.9412073490813648
34,18,0.9362865736942849
34,19,0.9385635996538795
34,20,0.9364934670312974
34,21,0.9379421221864952
35,2,0.739789679628271
35,3,0.8674492540963561
35,4,0.8750305698214722
35,5,0.900709219858156
35,6,0.9038884812912693
35,7,0.917094644167278
35,8,0.9180728784543898
35,9,0.9278552213255075
35,10,0.9303008070432869
35,11,0.9315068493150684
35,12,0.9404703576678098
35,13,0.9410464259395726
35,14,0.9414670288960237
35,15,0.9419709854927464
35,16,0.9409660107334525
35,17,0.9417169860855867
35,18,0.9401246274722298
35,19,0.9423240033927057
35,20,0.9452054794520548
35,21,0.94540864626065
36,2,0.7417461482024945
36,3,0.8711176326730252
36,4,0.8833455612619222
36,5,0.9073123012961605
36,6,0.9136708241623869
36,7,0.9212521398875031
36,8,0.9266324284666178
36,9,0.9347028613352898
36,10,0.942284177060406
36,11,0.9410469667318982
36,12,0.9429480901077375
36,13,0.9460255152109912
36,14,0.9486673247778875
36,15,0.945123472187578
36,16,0.9506988564167725
36,17,0.9481539670070699
36,18,0.9499863350642253
36,19,0.9466397461782521
36,20,0.9439053972104305
36,21,0.9435665914221218
37,2,0.7336757153338225
37,3,0.871606749816581
37,4,0.8950843727072634
37,5,0.9158718513083883
37,6,0.9246759598923943
37,7,0.9239422841770604
37,8,0.9300562484715089
37,9,0.933969185619956
37,10,0.9373930056248472
37,11,0.9398091509664791
37,12,0.9418975239029174
37,13,0.9449090014756517
37,14,0.9437143565583933
37,15,0.9446819210460146
37,16,0.9428058476532444
37,17,0.9425105485232067
37,18,0.9442460862400439
37,19,0.9405343292157426
37,20,0.9407676035055909
37,21,0.942985265855221
38,2,0.7204695524578136
38,3,0.8495964783565664
38,4,0.8603570555147958
38,5,0.8938615798483737
38,6,0.9002201027146002
38,7,0.9119589141599413
38,8,0.9163609684519443
38,9,0.9224749327463928
38,10,0.9219858156028369
38,11,0.9268412038169807
38,12,0.9356181150550795
38,13,0.9386352479135984
38,14,0.93596425912137
38,15,0.9379068602904357
38,16,0.9398572884811417
38,17,0.9357366771159875
38,18,0.9360196025047645
38,19,0.9375
38,20,0.9334738109572547
38,21,0.9392194497760716
39,2,0.7493274639276106
39,3,0.8796771826852531
39,4,0.8870139398385913
39,5,0.9104915627292737
39,6,0.9222303741746148
39,7,0.934213744191734
39,8,0.9408168256297383
39,9,0.9405722670579604
39,10,0.945952555637075
39,11,0.9501100513573001
39,12,0.9495716034271726
39,13,0.9494106090373281
39,14,0.953125
39,15,0.9541583166332666
39,16,0.95097037793667
39,17,0.9531825355076275
39,18,0.9560076986527358
39,19,0.953260242354299
39,20,0.9530445319600122
39,21,0.95136
40,2,0.7441917339202739
40,3,0.8784543898263634
40,4,0.8828564441183664
40,5,0.9114697970163854
40,6,0.9112252384446075
40,7,0.9224749327463928
40,8,0.9303008070432869
40,9,0.9400831499144044
40,10,0.9393494741990707
40,11,0.942284177060406
40,12,0.9417380660954713
40,13,0.9477172312223858
40,14,0.9477593463728645
40,15,0.9484613460095072
40,16,0.9467380224260958
40,17,0.9480996068152031
40,18,0.9475409836065574
40,19,0.9492545871559633
40,20,0.9463636363636364
40,21,0.9466237942122186
41,2,0.7625336268036195
41,3,0.8757642455368061
41,4,0.8911714355588163
41,5,0.9078014184397163
41,6,0.9195402298850575
41,7,0.9312790413303986
41,8,0.9359256541941795
41,9,0.9364147713377354
41,10,0.9427732942039618
41,11,0.9466862313524089
41,12,0.9444444444444444
41,13,0.9442808051055473
41,14,0.9439367745122252
41,15,0.9426783479349187
41,16,0.9443167305236271
41,17,0.9428496868475992
41,18,0.9429347826086957
41,19,0.9443008900373241
41,20,0.9408373786407767
41,21,0.9407810499359796
42,2,0.743702616776718
42,3,0.8750305698214722
42,4,0.8877476155539251
42,5,0.908779652726828
42,6,0.9183174370261677
42,7,0.9288334556126192
42,8,0.9273661041819515
42,9,0.933969185619956
42,10,0.9356810956224015
42,11,0.9405577299412916
42,12,0.943668870928239
42,13,0.9429274292742927
42,14,0.9447883139390938
42,15,0.9468297553669496
42,16,0.9472745797249108
42,17,0.9490278507619548
42,18,0.9476268412438625
42,19,0.9458689458689459
42,20,0.9447129909365559
42,21,0.9443734015345269
43,2,0.764490095377843
43,3,0.8694057226705796
43,4,0.8867693812668134
43,5,0.9038884812912693
43,6,0.9095133284421619
43,7,0.9241868427488383
43,8,0.9293225727561751
43,9,0.9376375641966251
43,10,0.9398385913426266
43,11,0.9415362035225049
43,12,0.9439275220372184
43,13,0.948377581120944
43,14,0.9470165882644219
43,15,0.9512987012987013
43,16,0.9490445859872612
43,17,0.951302974466965
43,18,0.9526562069914671
43,19,0.9533738777874312
43,20,0.9546416691865739
43,21,0.956145966709347
44,2,0.7473709953533871
44,3,0.8723404255319149
44,4,0.884323795549034
44,5,0.9070677427243825
44,6,0.9097578870139399
44,7,0.9212521398875031
44,8,0.9285888970408412
44,9,0.934213744191734
44,10,0.9383712399119589
44,11,0.9432485322896281
44,12,0.9407008086253369
44,13,0.9476529859916442
44,14,0.947290274684484
44,15,0.9523215177234149
44,16,0.9523084728564181
44,17,0.9520083463745436
44,18,0.9477955098728699
44,19,0.948849104859335
44,20,0.9479699248120301
44,21,0.9435153045124645
45,2,0.7476155539251651
45,3,0.8735632183908046
45,4,0.8808999755441428
45,5,0.909268769870384
45,6,0.9144044998777208
45,7,0.9273661041819515
45,8,0.9305453656150648
45,9,0.9354365370506236
45,10,0.9403277084861824
45,11,0.9430178527757398
45,12,0.9473555337904016
45,13,0.9477043947949914
45,14,0.9491441329694865
45,15,0.9502002002002002
45,16,0.949234693877551
45,17,0.9493969585736759
45,18,0.9468085106382979
45,19,0.9471579548700372
45,20,0.9481302774427021
45,21,0.9495851946394385
46,2,0.7432134996331622
46,3,0.8706285155294693
46,4,0.8833455612619222
46,5,0.9124480313034972
46,6,0.9146490584494986
46,7,0.9280997798972854
46,8,0.9239422841770604
46,9,0.9334800684764001
46,10,0.9347028613352898
46,11,0.9393197944702716
46,12,0.9412484700122399
46,13,0.940426575140966
46,14,0.9428642097452387
46,15,0.9459459459459459
46,16,0.9469774590163934
46,17,0.9440944881889763
46,18,0.9436850738108256
46,19,0.9411257897759908
46,20,0.9394306480920654
46,21,0.9387950270959515
47,2,0.727317192467596
47,3,0.8664710198092443
47,4,0.8821227684030325
47,5,0.9112252384446075
47,6,0.9197847884568354
47,7,0.9263878698948398
47,8,0.9322572756175104
47,9,0.9354365370506236
47,10,0.9356810956224015
47,11,0.9359256541941795
47,12,0.9456681350954479
47,13,0.9415950920245398
47,14,0.946039603960396
47,15,0.9461557726020536
47,16,0.9450436569080637
47,17,0.9446504237288136
47,18,0.9451790633608815
47,19,0.9443488238668961
47,20,0.9442267108833283
47,21,0.9450095359186268
48,2,0.752262166788946
48,3,0.879921741257031
48,4,0.8916605527023722
48,5,0.9122034727317192
48,6,0.9188065541697237
48,7,0.9290780141843972
48,8,0.9325018341892883
48,9,0.9398385913426266
48,10,0.9417950599168501
48,11,0.9415362035225049
48,12,0.9471236230110159
48,13,0.9474330631294522
48,14,0.9538690476190477
48,15,0.9543745299573828
48,16,0.9533044143914264
48,17,0.9507246376811594
48,18,0.949600660974938
48,19,0.9497545480796997
48,20,0.9479804161566707
48,21,0.945823927765237
49,2,0.74345805820494
49,3,0.8750305698214722
49,4,0.8867693812668134
49,5,0.9119589141599413
49,6,0.9192956713132795
49,7,0.9303008070432869
49,8,0.9344583027635118
49,9,0.938126681340181
49,10,0.9386157984837369
49,11,0.9447297627781853
49,12,0.9469048201614877
49,13,0.9457934755948001
49,14,0.9478368355995056
49,15,0.9493512974051896
49,16,0.9496311371152378
49,17,0.9508753592892605
49,18,0.9511002444987775
49,19,0.9505996573386636
49,20,0.9485938917447838
49,21,0.9481481481481482
50,2,0.7319638053313768
50,3,0.8769870383956958
50,4,0.8906823184152605
50,5,0.9129371484470531
50,6,0.9229640498899486
50,7,0.9273661041819515
50,8,0.9329909513328443
50,9,0.9393494741990707
50,10,0.9432624113475178
50,11,0.9452054794520548
50,12,0.9490820073439412
50,13,0.9509081983308787
50,14,0.9474467030242935
50,15,0.9514028056112225
50,16,0.9506014845149732
50,17,0.9506302521008403
50,18,0.9494366584226436
50,19,0.9489177489177489
50,20,0.945410186032327
50,21,0.9480645161290323
51,2,0.7483492296404989
51,3,0.8752751283932502
51,4,0.8860357055514796
51,5,0.9124480313034972
51,6,0.9156272927366104
51,7,0.9283443384690634
51,8,0.9312790413303986
51,9,0.9317681584739546
51,10,0.9356810956224015
51,11,0.9390900195694716
51,12,0.9419402253797158
51,13,0.9459592237779415
51,14,0.9468982630272953
51,15,0.9499749874937469
51,16,0.9429735234215886
51,17,0.9433070866141732
51,18,0.9453701174542475
51,19,0.943601488691669
51,20,0.9429520072441896
51,21,0.9415708812260536
52,2,0.7554414282220592
52,3,0.8813890926876987
52,4,0.8848129126925899
52,5,0.9095133284421619
52,6,0.909268769870384
52,7,0.9251650770359501
52,8,0.9332355099046221
52,9,0.937882122768403
52,10,0.9373930056248472
52,11,0.9430039138943248
52,12,0.9476003917727718
52,13,0.9486990672557682
52,14,0.9529353480307159
52,15,0.9521902377972465
52,16,0.950765306122449
52,17,0.9503826867247295
52,18,0.9520925110132159
52,19,0.9473227206946454
52,20,0.9490445859872612
52,21,0.9496633536389869
53,2,0.7307410124724871
53,3,0.8559550012227929
53,4,0.8752751283932502
53,5,0.9021765712888237
53,6,0.9058449498654928
53,7,0.9180728784543898
53,8,0.9219858156028369
53,9,0.9315235999021766
53,10,0.9332355099046221
53,11,0.9329417523250122
53,12,0.9360920666013712
53,13,0.9361179361179361
53,14,0.94400396432111
53,15,0.9422066549912435
53,16,0.9440345967947087
53,17,0.9472722526755416
53,18,0.9492399565689468
53,19,0.9487687517690349
53,20,0.943800178412132
53,21,0.9463276836158192
54,2,0.743702616776718
54,3,0.8703839569576913
54,4,0.8821227684030325
54,5,0.9102470041574957
54,6,0.9168500855955001
