lambda,N_star,U_star
0.01,2,-0.09428571428571428
0.014924623115577889,2,-0.09381670256042116
0.01984924623115578,2,-0.09334769083512802
0.024773869346733667,2,-0.09287867910983488
0.029698492462311557,2,-0.09240966738454175
0.03462311557788945,2,-0.09194065565924862
0.03954773869346734,2,-0.09147164393395549
0.04447236180904523,2,-0.09100263220866235
0.04939698492462312,2,-0.09053362048336923
0.05432160804020101,2,-0.09006460875807609
0.0592462311557789,2,-0.08959559703278296
0.06417085427135678,2,-0.08912658530748982
0.06909547738693467,2,-0.0886575735821967
0.07402010050251256,3,-0.08587269190975116
0.07894472361809045,3,-0.08208146570958524
0.08386934673366835,3,-0.07829023950941935
0.08879396984924623,3,-0.07449901330925343
0.09371859296482411,3,-0.07070778710908754
0.09864321608040201,3,-0.0669165609089216
0.1035678391959799,3,-0.06312533470875571
0.10849246231155779,3,-0.05933410850858978
0.11341708542713567,3,-0.05554288230842386
0.11834170854271357,3,-0.051751656108257965
0.12326633165829146,3,-0.047960429908092045
0.12819095477386935,3,-0.04416920370792614
0.13311557788944725,3,-0.04037797750776022
0.13804020100502515,3,-0.03658675130759431
0.14296482412060302,3,-0.03279552510742842
0.14788944723618092,3,-0.0290042989072625
0.1528140703517588,3,-0.02521307270709658
0.1577386934673367,3,-0.02142184650693066
0.16266331658291458,3,-0.01763062030676478
0.16758793969849248,3,-0.013839394106598846
0.17251256281407037,3,-0.01004816790643294
0.17743718592964824,3,-0.006256941706267047
0.18236180904522614,3,-0.0024657155061011266
0.18728643216080404,3,0.0013255106940648076
0.19221105527638194,3,0.0051167368942307
0.1971356783919598,3,0.008907963094396606
0.2020603015075377,3,0.012699189294562513
0.2069849246231156,3,0.01649041549472842
0.21190954773869347,3,0.020281641694894326
0.21683417085427137,3,0.024072867895060232
0.22175879396984927,3,0.02786409409522618
0.22668341708542716,3,0.031655320295392086
0.23160804020100503,3,0.03544654649555798
0.23653266331658293,3,0.0392377726957239
0.24145728643216083,3,0.04302899889588979
0.2463819095477387,3,0.0468202250960557
0.2513065326633166,3,0.05061145129622162
0.2562311557788945,3,0.05440267749638755
0.2611557788944724,3,0.05819390369655346
0.2660804020100503,3,0.061985129896719365
0.2710050251256282,3,0.06577635609688527
0.275929648241206,3,0.06956758229705115
0.2808542713567839,3,0.07335880849721707
0.2857788944723618,3,0.07715003469738299
0.2907035175879397,3,0.08094126089754891
0.2956281407035176,3,0.08473248709771483
0.3005527638190955,3,0.08852371329788074
0.3054773869346734,3,0.09231493949804666
0.31040201005025125,3,0.09610616569821252
0.31532663316582915,3,0.09989739189837843
0.32025125628140705,3,0.10368861809854438
0.32517587939698495,3,0.10747984429871028
0.33010050251256284,3,0.11127107049887619
0.33502512562814074,3,0.11506229669904211
0.33994974874371864,3,0.11885352289920803
0.3448743718592965,5,0.12377125765276242
0.3497989949748744,5,0.12893851928518327
0.3547236180904523,5,0.13410578091760406
0.3596482412060302,5,0.13927304255002493
0.36457286432160807,5,0.14444030418244574
0.36949748743718597,5,0.1496075658148665
0.37442211055276386,5,0.15477482744728738
0.3793467336683417,5,0.15994208907970814
0.3842713567839196,5,0.16510935071212893
0.3891959798994975,5,0.17027661234454977
0.3941206030150754,5,0.17544387397697064
0.3990452261306533,5,0.1806111356093914
0.4039698492462312,5,0.18577839724181225
0.4088944723618091,5,0.19094565887423304
0.41381909547738693,5,0.19611292050665383
0.41874371859296483,5,0.20128018213907464
0.42366834170854273,5,0.2064474437714955
0.4285929648241206,5,0.2116147054039163
0.4335175879396985,5,0.21678196703633712
0.4384422110552764,5,0.22194922866875796
0.4433668341708543,5,0.22711649030117875
0.44829145728643216,5,0.23228375193359954
0.45321608040201006,5,0.23745101356602036
0.45814070351758795,5,0.24261827519844117
0.46306532663316585,5,0.24778553683086202
0.46798994974874375,5,0.2529527984632829
0.47291457286432165,5,0.25812006009570365
0.47783919597989954,5,0.26328732172812447
0.4827638190954774,5,0.2684545833605453
0.4876884422110553,5,0.27362184499296605
0.4926130653266332,5,0.2787891066253869
0.4975376884422111,5,0.28395636825780773
0.502462311557789,5,0.2891236298902285
0.5073869346733668,5,0.2942908915226493
0.5123115577889448,5,0.2994581531550702
0.5172361809045226,5,0.30462541478749094
0.5221608040201006,5,0.3097926764199118
0.5270854271356784,5,0.3149599380523326
0.5320100502512564,5,0.32012719968475345
0.5369346733668342,5,0.3252944613171742
0.541859296482412,7,0.33096337092029404
0.54678391959799,7,0.33700075170642557
0.5517085427135678,7,0.343038132492557
0.5566331658291458,7,0.3490755132786886
0.5615577889447236,7,0.3551128940648199
0.5664824120603016,7,0.36115027485095147
0.5714070351758794,7,0.3671876556370829
0.5763316582914573,7,0.37322503642321425
0.5812562814070352,7,0.37926241720934584
